code,date,open,high,low,close,amount,volume
000300.SH,2021/2/4 10:40,5487.14,5487.14,5474.51,5474.67,8761.87,459122400
000300.SH,2021/2/4 10:45,5473.79,5473.79,5454.21,5454.21,10644.46,560537800
000300.SH,2021/2/4 10:50,5453.32,5470.71,5452.77,5457.72,7423.1,365746900
000300.SH,2021/2/4 10:55,5457.16,5467.61,5453.86,5467.34,7018.66,348837300
000300.SH,2021/2/4 11:00,5467.53,5468.04,5448.98,5448.98,6041.97,290582500
000300.SH,2021/2/4 11:05,5447.86,5471.53,5447.06,5471.53,6410.43,303148300
000300.SH,2021/2/4 11:10,5471.39,5472.48,5467.68,5472.48,5084.55,233948700
000300.SH,2021/2/4 11:15,5471.78,5479.08,5464.96,5465.45,6133.91,312836200
000300.SH,2021/2/4 11:20,5465.47,5465.47,5453.59,5453.59,6425.38,295662800
000300.SH,2021/2/4 11:25,5452.84,5452.84,5435.86,5435.86,7752.46,377516400
000300.SH,2021/2/4 11:30,5435.36,5441.48,5435.36,5440.99,4456.13,212493000
000300.SH,2021/2/4 13:05,5440.99,5440.99,5425.3,5427.24,8641.76,397826900
000300.SH,2021/2/4 13:10,5427.13,5427.13,5413.07,5419.28,6970.91,281177600
000300.SH,2021/2/4 13:15,5419.87,5426.43,5414.03,5421.49,5814.89,250139200
000300.SH,2021/2/4 13:20,5421.3,5426.45,5417.01,5426.45,5361.14,218420000
000300.SH,2021/2/4 13:25,5427.28,5431.27,5427.01,5427.08,4625.8,190028400
000300.SH,2021/2/4 13:30,5427.07,5427.43,5417.37,5417.69,4955.21,193967800
000300.SH,2021/2/4 13:35,5417.69,5420.97,5411.57,5419.77,5101.55,225298900
000300.SH,2021/2/4 13:40,5419.51,5440.55,5419.47,5440.55,4958.19,224042700
000300.SH,2021/2/4 13:45,5440.71,5447.34,5440.71,5441.06,4877.44,229855700
000300.SH,2021/2/4 13:50,5440.52,5462.65,5439.72,5462.36,5510.22,269653100
000300.SH,2021/2/4 13:55,5462.6,5464.29,5456.84,5458.02,5128.53,255460100
000300.SH,2021/2/4 14:00,5457.9,5459.92,5448.41,5448.41,4490.88,204124900
000300.SH,2021/2/4 14:05,5447.87,5456.8,5446.01,5454.44,4691.5,194162100
000300.SH,2021/2/4 14:10,5454.3,5463.13,5453.88,5462.96,4861.94,224565900
000300.SH,2021/2/4 14:15,5462.88,5473.59,5461.05,5471.86,5614.87,213292700
000300.SH,2021/2/4 14:20,5471.43,5485.55,5471.43,5485.55,6262.78,303620600
000300.SH,2021/2/4 14:25,5486.23,5487.64,5476.02,5476.02,6658.95,286705400
000300.SH,2021/2/4 14:30,5475.65,5488.93,5474.06,5488.93,5499.43,241146700
000300.SH,2021/2/4 14:35,5489.09,5490,5478.03,5478.03,5816.89,254891000
000300.SH,2021/2/4 14:40,5477.71,5483.03,5475.07,5475.07,5759.66,235487500
000300.SH,2021/2/4 14:45,5474.85,5476.97,5470.2,5473.24,6008.57,289348400
000300.SH,2021/2/4 14:50,5473.66,5474.39,5469.67,5472.61,5978.52,270218400
000300.SH,2021/2/4 14:55,5472.3,5473.55,5469.98,5470.8,8014.24,369756900
000300.SH,2021/2/4 15:00,5470.39,5473.95,5470.39,5473.95,6014.79,290847600
000300.SH,2021/2/5 9:35,5494.7,5504.6,5485.61,5495.69,29045.23,1215068400
000300.SH,2021/2/5 9:40,5496,5501.26,5484.59,5500.59,17788.07,862570900
000300.SH,2021/2/5 9:45,5500.58,5515.89,5494.84,5515.78,14612.72,642076800
000300.SH,2021/2/5 9:50,5516.29,5517.52,5499.5,5500.27,14143.57,707817500
000300.SH,2021/2/5 9:55,5499.95,5513.87,5499.95,5510.06,12029.8,562000600
000300.SH,2021/2/5 10:00,5509.81,5519.94,5509.81,5519.71,10486.27,426071300
000300.SH,2021/2/5 10:05,5521.5,5530.49,5517.46,5530.34,11567.78,516462900
000300.SH,2021/2/5 10:10,5530.83,5531.74,5518.04,5518.04,12170.75,652768000
000300.SH,2021/2/5 10:15,5518.17,5527.26,5517.68,5525.13,9732.06,489755300
000300.SH,2021/2/5 10:20,5526.07,5535.38,5525.06,5525.84,10316.19,586555300
000300.SH,2021/2/5 10:25,5525.77,5525.77,5516.34,5517.38,10110.98,555805100
000300.SH,2021/2/5 10:30,5517.5,5519.16,5509.66,5509.66,8858.77,381729500
000300.SH,2021/2/5 10:35,5508.54,5523.75,5506.33,5523.59,7872.08,371685800
000300.SH,2021/2/5 10:40,5523.94,5536.61,5523.94,5536.61,7079.63,279596300
000300.SH,2021/2/5 10:45,5537.61,5541.58,5533.78,5535.45,7492.45,320931500
000300.SH,2021/2/5 10:50,5535.23,5538.42,5532.19,5532.19,8469.14,377216500
000300.SH,2021/2/5 10:55,5532.47,5532.91,5526.01,5530.43,7519.78,395029400
000300.SH,2021/2/5 11:00,5530.73,5541.25,5530.62,5541.25,6495.56,283472700
000300.SH,2021/2/5 11:05,5542.58,5543.18,5537.03,5540.72,6162.97,249264600
000300.SH,2021/2/5 11:10,5540.55,5550.77,5540.55,5544.02,7034.48,486088000
000300.SH,2021/2/5 11:15,5544.37,5545.73,5530.6,5530.6,5923.67,275118900
000300.SH,2021/2/5 11:20,5530.04,5531.36,5524.13,5531.36,5613.62,235576800
000300.SH,2021/2/5 11:25,5531.86,5537.34,5530.2,5534.74,5244.12,213125600
000300.SH,2021/2/5 11:30,5534.7,5534.81,5521.62,5522.21,4897.43,203589400
000300.SH,2021/2/5 13:05,5522.21,5531.28,5520.78,5523.36,9622.31,402274900
000300.SH,2021/2/5 13:10,5522.4,5522.4,5508.05,5511.07,6456.95,263563700
000300.SH,2021/2/5 13:15,5510.88,5512.1,5502.6,5511.75,5951.68,238931100
000300.SH,2021/2/5 13:20,5511.01,5516.1,5508.01,5510.49,5148.04,219294100
000300.SH,2021/2/5 13:25,5510.44,5510.74,5500.9,5500.9,5305.43,231448800
000300.SH,2021/2/5 13:30,5500.65,5510.97,5498.76,5507.36,5272.6,223631300
000300.SH,2021/2/5 13:35,5507.91,5519.68,5506.98,5519.68,4862.77,224562800
000300.SH,2021/2/5 13:40,5519.47,5525.72,5513.63,5525.72,4968.81,236313300
000300.SH,2021/2/5 13:45,5525.41,5535.07,5525.41,5530.63,5559.98,265115700
000300.SH,2021/2/5 13:50,5530.52,5533.81,5526.4,5526.99,5003.35,241746600
000300.SH,2021/2/5 13:55,5527.39,5532.82,5524.87,5532.64,5075.16,328297200
000300.SH,2021/2/5 14:00,5532.66,5535.35,5530.42,5535.35,4754.75,289515000
000300.SH,2021/2/5 14:05,5535.64,5541.83,5532.04,5532.04,6915.46,527277400
000300.SH,2021/2/5 14:10,5532.02,5532.02,5522.6,5523.83,5883.99,370184000
000300.SH,2021/2/5 14:15,5523.69,5526.83,5514.81,5517.73,6109.09,313323500
000300.SH,2021/2/5 14:20,5517.38,5521.51,5517.37,5517.52,5430.36,273570100
000300.SH,2021/2/5 14:25,5517.52,5517.52,5506.64,5509.57,6429.09,296478700
000300.SH,2021/2/5 14:30,5509.66,5510.34,5502.8,5502.8,6442.04,290993700
000300.SH,2021/2/5 14:35,5502.74,5505.3,5498.39,5498.39,6366.94,322830500
000300.SH,2021/2/5 14:40,5497.77,5497.77,5477.82,5478.09,9169.2,433416700
000300.SH,2021/2/5 14:45,5477.65,5488.43,5477.65,5483.94,7938.69,379243700
000300.SH,2021/2/5 14:50,5483.7,5483.7,5478.99,5483.23,9199.54,436198600
000300.SH,2021/2/5 14:55,5483.7,5484.68,5482.15,5482.36,10038.17,497120400
000300.SH,2021/2/5 15:00,5482.34,5483.41,5482.14,5483.41,6828.62,375250900
000300.SH,2021/2/8 9:35,5506.54,5520.97,5506.14,5520.17,32594.71,1500699900
000300.SH,2021/2/8 9:40,5521.18,5523.19,5499.88,5500.05,18739.83,857936400
000300.SH,2021/2/8 9:45,5500.44,5504.62,5486.13,5486.13,16588.58,736873000
000300.SH,2021/2/8 9:50,5485.82,5491.51,5479.85,5485.14,15604.78,648263300
000300.SH,2021/2/8 9:55,5484.42,5504.18,5483.66,5504.18,12364.66,554385100
000300.SH,2021/2/8 10:00,5505.13,5506.36,5486.61,5488.29,11713.59,595066700
000300.SH,2021/2/8 10:05,5490.44,5504.73,5490.44,5504.73,10738.19,516478900
